user_id,datetime,step,version
0,2020-10-11 19:01:59,1 - arrivée souscription,A
0,2020-10-11 19:06:39,2 - estimateur,A
0,2020-10-11 19:10:19,3 - devis & info persos,A
0,2020-10-11 19:14:59,4 - services & options,A
0,2020-10-11 19:21:39,5 - PCE / PDL,A
1,2020-10-14 13:39:52,1 - arrivée souscription,B
1,2020-10-14 13:40:42,2 - estimateur,B
1,2020-10-14 13:44:32,3 - devis & info persos,B
1,2020-10-14 13:45:22,4 - services & options,B
1,2020-10-14 13:48:12,5 - PCE / PDL,B
1,2020-10-14 13:49:02,6 - Facturation & paiement,B
1,2020-10-14 13:49:52,7 - Récap,B
2,2020-10-04 17:47:41,1 - arrivée souscription,A
2,2020-10-04 17:49:11,2 - estimateur,A
2,2020-10-04 17:52:41,3 - devis & info persos,A
2,2020-10-04 17:56:11,4 - services & options,A
2,2020-10-04 17:57:41,5 - PCE / PDL,A
2,2020-10-04 18:01:11,6 - Facturation & paiement,A
2,2020-10-04 18:02:41,7 - Récap,A
2,2020-10-04 18:05:11,8 - Fini !,A
3,2020-10-10 09:09:43,1 - arrivée souscription,A
3,2020-10-10 09:13:33,2 - estimateur,A
3,2020-10-10 09:18:23,3 - devis & info persos,A
3,2020-10-10 09:20:13,4 - services & options,A
3,2020-10-10 09:25:03,5 - PCE / PDL,A
3,2020-10-10 09:29:53,6 - Facturation & paiement,A
3,2020-10-10 09:32:43,7 - Récap,A
3,2020-10-10 09:35:33,8 - Fini !,A
4,2020-10-03 13:51:11,1 - arrivée souscription,B
4,2020-10-03 13:57:01,2 - estimateur,B
5,2020-10-06 14:12:26,1 - arrivée souscription,A
5,2020-10-06 14:14:46,2 - estimateur,A
5,2020-10-06 14:20:06,3 - devis & info persos,A
5,2020-10-06 14:21:26,4 - services & options,A
5,2020-10-06 14:25:46,5 - PCE / PDL,A
5,2020-10-06 14:28:06,6 - Facturation & paiement,A
5,2020-10-06 14:33:26,7 - Récap,A
5,2020-10-06 14:34:46,8 - Fini !,A
6,2020-10-13 13:32:00,1 - arrivée souscription,B
6,2020-10-13 13:34:50,2 - estimateur,B
6,2020-10-13 13:38:40,3 - devis & info persos,B
6,2020-10-13 13:39:30,4 - services & options,B
6,2020-10-13 13:43:20,5 - PCE / PDL,B
6,2020-10-13 13:45:10,6 - Facturation & paiement,B
6,2020-10-13 13:48:00,7 - Récap,B
6,2020-10-13 13:52:50,8 - Fini !,B
7,2020-10-09 09:12:02,1 - arrivée souscription,A
7,2020-10-09 09:13:22,2 - estimateur,A
8,2020-10-13 17:44:13,1 - arrivée souscription,B
8,2020-10-13 17:48:33,2 - estimateur,B
8,2020-10-13 17:51:53,3 - devis & info persos,B
8,2020-10-13 17:57:13,4 - services & options,B
8,2020-10-13 18:02:33,5 - PCE / PDL,B
9,2020-10-01 16:29:57,1 - arrivée souscription,B
9,2020-10-01 16:33:27,2 - estimateur,B
9,2020-10-01 16:38:57,3 - devis & info persos,B
9,2020-10-01 16:42:27,4 - services & options,B
9,2020-10-01 16:47:57,5 - PCE / PDL,B
9,2020-10-01 16:53:27,6 - Facturation & paiement,B
9,2020-10-01 16:57:57,7 - Récap,B
9,2020-10-01 17:00:27,8 - Fini !,B
10,2020-10-11 16:29:58,1 - arrivée souscription,A
10,2020-10-11 16:31:28,2 - estimateur,A
10,2020-10-11 16:33:58,3 - devis & info persos,A
10,2020-10-11 16:34:28,4 - services & options,A
10,2020-10-11 16:36:58,5 - PCE / PDL,A
10,2020-10-11 16:38:28,6 - Facturation & paiement,A
10,2020-10-11 16:37:58,7 - Récap,A
11,2020-10-02 15:16:55,1 - arrivée souscription,A
11,2020-10-02 15:19:25,2 - estimateur,A
11,2020-10-02 15:20:55,3 - devis & info persos,A
11,2020-10-02 15:20:25,4 - services & options,A
12,2020-10-14 20:25:55,1 - arrivée souscription,A
12,2020-10-14 20:30:25,2 - estimateur,A
12,2020-10-14 20:31:55,3 - devis & info persos,A
13,2020-10-04 15:10:04,1 - arrivée souscription,B
13,2020-10-04 15:14:44,2 - estimateur,B
13,2020-10-04 15:16:24,3 - devis & info persos,B
13,2020-10-04 15:20:04,4 - services & options,B
13,2020-10-04 15:25:44,5 - PCE / PDL,B
13,2020-10-04 15:29:24,6 - Facturation & paiement,B
14,2020-10-13 12:58:32,1 - arrivée souscription,A
14,2020-10-13 13:02:32,2 - estimateur,A
14,2020-10-13 13:07:32,3 - devis & info persos,A
14,2020-10-13 13:09:32,4 - services & options,A
14,2020-10-13 13:14:32,5 - PCE / PDL,A
14,2020-10-13 13:19:32,6 - Facturation & paiement,A
14,2020-10-13 13:21:32,7 - Récap,A
14,2020-10-13 13:26:32,8 - Fini !,A
15,2020-10-09 20:14:05,1 - arrivée souscription,A
16,2020-10-15 13:10:15,1 - arrivée souscription,A
16,2020-10-15 13:12:05,2 - estimateur,A
17,2020-10-15 10:36:26,1 - arrivée souscription,B
17,2020-10-15 10:38:46,2 - estimateur,B
18,2020-10-15 11:06:45,1 - arrivée souscription,A
18,2020-10-15 11:12:35,2 - estimateur,A
18,2020-10-15 11:16:25,3 - devis & info persos,A
18,2020-10-15 11:21:15,4 - services & options,A
18,2020-10-15 11:27:05,5 - PCE / PDL,A
19,2020-10-03 13:57:50,1 - arrivée souscription,A
19,2020-10-03 14:03:30,2 - estimateur,A
20,2020-10-01 08:47:30,1 - arrivée souscription,A
20,2020-10-01 08:50:20,2 - estimateur,A
20,2020-10-01 08:53:10,3 - devis & info persos,A
20,2020-10-01 08:56:00,4 - services & options,A
20,2020-10-01 08:58:50,5 - PCE / PDL,A
20,2020-10-01 09:00:40,6 - Facturation & paiement,A
20,2020-10-01 09:05:30,7 - Récap,A
20,2020-10-01 09:08:20,8 - Fini !,A
21,2020-10-10 20:07:53,1 - arrivée souscription,B
22,2020-10-13 10:51:51,1 - arrivée souscription,B
22,2020-10-13 10:56:41,2 - estimateur,B
22,2020-10-13 11:01:31,3 - devis & info persos,B
22,2020-10-13 11:06:21,4 - services & options,B
22,2020-10-13 11:11:11,5 - PCE / PDL,B
23,2020-10-02 13:24:52,1 - arrivée souscription,B
23,2020-10-02 13:27:12,2 - estimateur,B
23,2020-10-02 13:28:32,3 - devis & info persos,B
23,2020-10-02 13:29:52,4 - services & options,B
23,2020-10-02 13:29:12,5 - PCE / PDL,B
24,2020-10-02 12:24:14,1 - arrivée souscription,A
24,2020-10-02 12:26:44,2 - estimateur,A
24,2020-10-02 12:28:14,3 - devis & info persos,A
24,2020-10-02 12:32:44,4 - services & options,A
24,2020-10-02 12:33:14,5 - PCE / PDL,A
25,2020-10-07 17:40:24,1 - arrivée souscription,B
25,2020-10-07 17:43:04,2 - estimateur,B
25,2020-10-07 17:44:44,3 - devis & info persos,B
25,2020-10-07 17:47:24,4 - services & options,B
25,2020-10-07 17:51:04,5 - PCE / PDL,B
25,2020-10-07 17:52:44,6 - Facturation & paiement,B
25,2020-10-07 17:56:24,7 - Récap,B
25,2020-10-07 17:58:04,8 - Fini !,B
26,2020-10-03 15:43:43,1 - arrivée souscription,A
26,2020-10-03 15:46:53,2 - estimateur,A
26,2020-10-03 15:50:03,3 - devis & info persos,A
26,2020-10-03 15:54:13,4 - services & options,A
26,2020-10-03 15:57:23,5 - PCE / PDL,A
26,2020-10-03 15:58:33,6 - Facturation & paiement,A
26,2020-10-03 16:03:43,7 - Récap,A
26,2020-10-03 16:04:53,8 - Fini !,A
27,2020-10-06 16:08:47,1 - arrivée souscription,B
27,2020-10-06 16:13:17,2 - estimateur,B
27,2020-10-06 16:18:47,3 - devis & info persos,B
27,2020-10-06 16:21:17,4 - services & options,B
27,2020-10-06 16:26:47,5 - PCE / PDL,B
28,2020-10-09 17:59:26,1 - arrivée souscription,B
28,2020-10-09 18:02:36,2 - estimateur,B
28,2020-10-09 18:07:46,3 - devis & info persos,B
28,2020-10-09 18:12:56,4 - services & options,B
28,2020-10-09 18:17:06,5 - PCE / PDL,B
28,2020-10-09 18:19:16,6 - Facturation & paiement,B
28,2020-10-09 18:24:26,7 - Récap,B
28,2020-10-09 18:28:36,8 - Fini !,B
29,2020-10-02 14:34:08,1 - arrivée souscription,B
29,2020-10-02 14:36:58,2 - estimateur,B
29,2020-10-02 14:40:48,3 - devis & info persos,B
30,2020-10-14 19:32:15,1 - arrivée souscription,A
30,2020-10-14 19:34:15,2 - estimateur,A
30,2020-10-14 19:36:15,3 - devis & info persos,A
30,2020-10-14 19:37:15,4 - services & options,A
31,2020-10-13 15:04:31,1 - arrivée souscription,A
31,2020-10-13 15:08:11,2 - estimateur,A
31,2020-10-13 15:10:51,3 - devis & info persos,A
31,2020-10-13 15:13:31,4 - services & options,A
31,2020-10-13 15:14:11,5 - PCE / PDL,A
31,2020-10-13 15:18:51,6 - Facturation & paiement,A
31,2020-10-13 15:19:31,7 - Récap,A
31,2020-10-13 15:24:11,8 - Fini !,A
32,2020-10-13 15:20:21,1 - arrivée souscription,B
32,2020-10-13 15:24:51,2 - estimateur,B
32,2020-10-13 15:28:21,3 - devis & info persos,B
32,2020-10-13 15:29:51,4 - services & options,B
32,2020-10-13 15:33:21,5 - PCE / PDL,B
32,2020-10-13 15:37:51,6 - Facturation & paiement,B
32,2020-10-13 15:41:21,7 - Récap,B
32,2020-10-13 15:43:51,8 - Fini !,B
33,2020-10-10 12:25:52,1 - arrivée souscription,B
34,2020-10-09 11:42:31,1 - arrivée souscription,A
34,2020-10-09 11:45:51,2 - estimateur,A
34,2020-10-09 11:48:11,3 - devis & info persos,A
34,2020-10-09 11:52:31,4 - services & options,A
34,2020-10-09 11:54:51,5 - PCE / PDL,A
35,2020-10-06 15:32:11,1 - arrivée souscription,A
35,2020-10-06 15:35:21,2 - estimateur,A
36,2020-10-10 09:13:43,1 - arrivée souscription,A
36,2020-10-10 09:15:53,2 - estimateur,A
36,2020-10-10 09:15:03,3 - devis & info persos,A
36,2020-10-10 09:16:13,4 - services & options,A
36,2020-10-10 09:17:23,5 - PCE / PDL,A
37,2020-10-11 09:34:12,1 - arrivée souscription,B
38,2020-10-01 10:33:16,1 - arrivée souscription,A
38,2020-10-01 10:37:36,2 - estimateur,A
38,2020-10-01 10:39:56,3 - devis & info persos,A
38,2020-10-01 10:42:16,4 - services & options,A
38,2020-10-01 10:45:36,5 - PCE / PDL,A
39,2020-10-01 20:00:42,1 - arrivée souscription,B
39,2020-10-01 20:01:52,2 - estimateur,B
39,2020-10-01 20:05:02,3 - devis & info persos,B
39,2020-10-01 20:06:12,4 - services & options,B
39,2020-10-01 20:10:22,5 - PCE / PDL,B
40,2020-10-10 12:25:15,1 - arrivée souscription,B
41,2020-10-04 19:30:08,1 - arrivée souscription,A
41,2020-10-04 19:31:08,2 - estimateur,A
41,2020-10-04 19:35:08,3 - devis & info persos,A
41,2020-10-04 19:36:08,4 - services & options,A
41,2020-10-04 19:39:08,5 - PCE / PDL,A
41,2020-10-04 19:39:08,6 - Facturation & paiement,A
41,2020-10-04 19:43:08,7 - Récap,A
41,2020-10-04 19:45:08,8 - Fini !,A
42,2020-10-06 19:19:32,1 - arrivée souscription,A
42,2020-10-06 19:19:22,2 - estimateur,A
42,2020-10-06 19:22:12,3 - devis & info persos,A
43,2020-10-01 12:03:58,1 - arrivée souscription,A
43,2020-10-01 12:05:38,2 - estimateur,A
44,2020-10-14 15:59:50,1 - arrivée souscription,A
44,2020-10-14 16:02:50,2 - estimateur,A
45,2020-10-10 09:49:54,1 - arrivée souscription,B
45,2020-10-10 09:54:24,2 - estimateur,B
45,2020-10-10 09:57:54,3 - devis & info persos,B
45,2020-10-10 10:00:24,4 - services & options,B
45,2020-10-10 10:04:54,5 - PCE / PDL,B
45,2020-10-10 10:07:24,6 - Facturation & paiement,B
46,2020-10-13 11:12:09,1 - arrivée souscription,B
46,2020-10-13 11:13:09,2 - estimateur,B
46,2020-10-13 11:14:09,3 - devis & info persos,B
46,2020-10-13 11:15:09,4 - services & options,B
46,2020-10-13 11:17:09,5 - PCE / PDL,B
46,2020-10-13 11:16:09,6 - Facturation & paiement,B
46,2020-10-13 11:19:09,7 - Récap,B
46,2020-10-13 11:20:09,8 - Fini !,B
47,2020-10-01 15:03:25,1 - arrivée souscription,B
47,2020-10-01 15:06:05,2 - estimateur,B
47,2020-10-01 15:09:45,3 - devis & info persos,B
47,2020-10-01 15:10:25,4 - services & options,B
47,2020-10-01 15:15:05,5 - PCE / PDL,B
48,2020-10-12 16:51:41,1 - arrivée souscription,A
48,2020-10-12 16:53:41,2 - estimateur,A
48,2020-10-12 16:54:41,3 - devis & info persos,A
48,2020-10-12 16:57:41,4 - services & options,A
48,2020-10-12 16:59:41,5 - PCE / PDL,A
49,2020-10-11 15:20:19,1 - arrivée souscription,A
49,2020-10-11 15:24:29,2 - estimateur,A
49,2020-10-11 15:26:39,3 - devis & info persos,A
49,2020-10-11 15:30:49,4 - services & options,A
49,2020-10-11 15:32:59,5 - PCE / PDL,A
50,2020-10-07 14:24:09,1 - arrivée souscription,B
50,2020-10-07 14:28:09,2 - estimateur,B
50,2020-10-07 14:29:09,3 - devis & info persos,B
